Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2,Excel标签: dm_air,Excel标签: m_ls_opt_do,Excel标签: m_ph,Excel标签: m_stirrer,Excel标签: m_temp,Excel标签: dm_o2,Excel标签: dm_spump1,Excel标签: dm_spump2,Excel标签: dm_spump3,Excel标签: dm_spump4
2025-06-27T21:19:37.247,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:38.696,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:40.266,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:41.756,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:43.420,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:45.026,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:46.706,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:48.421,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:50.159,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:51.767,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:53.551,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:55.276,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:57.086,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:19:58.847,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:00.520,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:02.116,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:03.721,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:05.352,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:07.146,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:08.686,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:10.501,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:12.107,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:13.556,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:20:15.026,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,4.0,0.0001,0.0001,0.0001,
2025-06-27T21:20:16.588,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,5.0,0.0001,0.0001,0.0001,
2025-06-27T21:20:18.370,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,5.0,0.0001,0.0001,0.0001,
2025-06-27T21:20:19.846,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,5.0,0.0001,0.0001,0.0001,
2025-06-27T21:20:21.567,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,5.0,0.0001,0.0001,0.0001,
2025-06-27T21:20:23.302,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,5.0,0.0001,0.0001,0.0001,
2025-06-27T21:20:25.073,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,5.0,0.0001,0.0001,0.0001,
